"Kabupaten_Kota","PDRB","MISKIN"
"Pacitan","20656.58","13.08"
"Ponorogo","27047.08","9.11"
"Trenggalek","24364.74","10.5"
"Tulungagung","51246.65","6.28"
"Blitar","47779.19","8.16"
"Kediri","54649.67","9.95"
"Malang","138423.17","8.98"
"Lumajang","43059.45","8.65"
"Jember","102757.71","9.01"
"Banyuwangi","108922.59","6.54"
"Bondowoso","26543.06","12.6"
"Situbondo","27101.63","11.51"
"Probolinggo","45675.15","16.45"
"Pasuruan","201665.14","8.63"
"Sidoarjo","296887.11","4.53"
"Mojokerto","113129.71","9.37"
"Jombang","53898.91","8.6"
"Nganjuk","36270.56","10.17"
"Madiun","25548.56","10.63"
"Magetan","24577.3","9.32"
"Ngawi","25944.84","13.81"
"Bojonegoro","101794.09","11.69"
"Tuban","87110.99","14.36"
"Lamongan","52076.88","12.16"
"Gresik","188604.51","10.32"
"Bangkalan","28738.77","18.66"
"Sampang","24881.79","20.83"
"Pamekasan","22492.18","13.41"
"Sumenep","45222.29","17.78"
"Kota Kediri","168748.92","6.51"
"Kota Blitar","9187.7","6.75"
"Kota Malang","100116.87","3.91"
"Kota Probolinggo","15374.98","6.18"
"Kota Pasuruan","11208.17","6.32"
"Kota Mojokerto","8612.33","5.57"
"Kota Madiun","18653.19","4.38"
"Kota Surabaya","772493.61","3.96"
"Kota Batu","22154.31","3.06"
